phone,first_name,last_name,timezone,account_ref,amount_due
+18425645398,Yuki,Anderson,America/Denver,ACC-200001,1636.49
+13897814559,Victoria,Jackson,America/New_York,ACC-200002,4866.65
+16887166373,Sandra,Carter,America/Denver,ACC-200003,1216.64
+18212651349,Olivia,Costa,Pacific/Honolulu,ACC-200004,2300.69
+14026493856,Victoria,Wright,America/New_York,ACC-200005,2502.90
+14853826937,Linda,Lewis,Pacific/Honolulu,ACC-200006,1274.90
+16274948008,Sophia,Thornton,America/Denver,ACC-200007,194.30
+17098485781,Emily,Mbeki,America/New_York,ACC-200008,146.97
+15748206315,Diego,Okafor,America/Los_Angeles,ACC-200009,1968.56
+18875378305,James,Harris,America/Phoenix,ACC-200010,1550.58
+13529554487,Elijah,Johnson,America/Los_Angeles,ACC-200011,1809.95
+13505969952,David,Reyes,America/Los_Angeles,ACC-200012,4540.18
+16602920829,Priya,Wright,America/Los_Angeles,ACC-200013,4585.69
+18116849833,Linda,Williams,America/Chicago,ACC-200014,1881.12
+12316307541,Jason,Brown,America/Los_Angeles,ACC-200015,4233.74
+15945268952,Amanda,Gonzalez,Pacific/Honolulu,ACC-200016,3091.70
+18456004011,Ryan,Beauchamp,America/Phoenix,ACC-200017,3484.20
+18339654808,Olivia,Kahale,America/Chicago,ACC-200018,4457.64
+18062350387,Nancy,Wilson,America/Denver,ACC-200019,4837.16
+15628839360,Hannah,Whitfield,America/Anchorage,ACC-200020,1548.83
+18479444791,Sandra,Nakamura,America/Chicago,ACC-200021,4382.94
+17459712394,Hannah,Chen,America/Los_Angeles,ACC-200022,1634.78
+17886230052,Jennifer,Andersson,America/Los_Angeles,ACC-200023,3837.23
+18084940502,Samuel,Hall,America/Anchorage,ACC-200024,1944.15
+12867172755,Maria,Harris,America/New_York,ACC-200025,699.05
+16648350892,Olivia,Ferreira,America/Chicago,ACC-200026,4547.32
+16126817645,Fatima,Thornton,America/New_York,ACC-200027,3381.13
+17663708757,Steven,Petrov,America/New_York,ACC-200028,380.61
+13566466753,Elijah,Harris,America/New_York,ACC-200029,2189.91
+17198326276,Andrew,King,America/Los_Angeles,ACC-200030,1180.42
+12725448262,Anthony,Delacroix,Pacific/Honolulu,ACC-200031,4659.71
+16689351425,David,Nakamura,America/Anchorage,ACC-200032,3946.45
+18135687130,James,Garcia,America/Los_Angeles,ACC-200033,2690.83
+12866090033,David,Kowalski,America/Chicago,ACC-200034,820.78
+13026106059,Isabella,Thomas,America/Anchorage,ACC-200035,3978.63
+19756726785,Nancy,Thornton,America/Chicago,ACC-200036,4003.02
+17444666402,Yuki,Sandoval,America/Chicago,ACC-200037,1328.70
+19917518059,Jennifer,Beauchamp,America/Chicago,ACC-200038,2023.02
+13118125881,Chloe,Johnson,America/Chicago,ACC-200039,2662.06
+18186968653,Yuki,Clark,Pacific/Honolulu,ACC-200040,4601.62
+12012466519,Robert,Chen,America/New_York,ACC-200041,1807.93
+13553319471,Chloe,White,America/Phoenix,ACC-200042,4604.52
+14626036271,Wei,King,America/New_York,ACC-200043,588.04
+18465687404,Joseph,Beauchamp,America/Los_Angeles,ACC-200044,275.15
+17748080736,Patricia,Sorensen,America/New_York,ACC-200045,3426.14
+16249890867,Wei,Young,America/Los_Angeles,ACC-200046,1671.78
+12406157520,Nathan,Whitfield,America/Denver,ACC-200047,256.12
+17117884245,Joseph,Miller,America/Phoenix,ACC-200048,4555.02
+18249409882,Sandra,Garcia,America/Anchorage,ACC-200049,4599.53
+16735211167,Joshua,Anderson,Pacific/Honolulu,ACC-200050,4357.91
+16295629942,Susan,Costa,America/Phoenix,ACC-200051,4216.15
+14738448875,Susan,Adeyemi,America/New_York,ACC-200052,2037.65
+15693919222,Benjamin,Clark,America/Denver,ACC-200053,1270.16
+16854843549,Sophia,Andersson,America/New_York,ACC-200054,4339.71
+17198016181,Andrew,Beauchamp,America/Chicago,ACC-200055,716.10
+18682028200,Emily,Johnson,America/Chicago,ACC-200056,2770.89
+17918464021,Joshua,Sorensen,America/Phoenix,ACC-200057,1182.37
+13737850355,Elijah,Lewis,America/Chicago,ACC-200058,2493.15
+19217210550,Isabella,Brown,America/Chicago,ACC-200059,3026.41
+17918042009,Brian,Garcia,America/Denver,ACC-200060,851.73
+19109943104,Steven,Ferreira,America/New_York,ACC-200061,3871.74
+19165112416,Christopher,Nakamura,America/Los_Angeles,ACC-200062,2809.62
+16423474157,Olivia,Sandoval,America/New_York,ACC-200063,2150.91
+19979765679,Sandra,Taylor,America/Los_Angeles,ACC-200064,3073.38
+14474208610,David,Anderson,America/Phoenix,ACC-200065,492.50
