phone,first_name,last_name,timezone,account_ref,amount_due
+12125550101,James,Carter,America/New_York,ACC-100001,1245.50
+12125550102,Maria,Gonzalez,America/New_York,ACC-100002,89.99
+13475550103,Robert,Chen,America/New_York,ACC-100003,3200.00
+16175550104,Linda,Okafor,America/New_York,ACC-100004,540.25
+13125550105,Michael,Novak,America/Chicago,ACC-100006,1799.00
+13125550106,Patricia,Andersson,America/Chicago,ACC-100007,67.40
+12145550107,David,Whitfield,America/Chicago,ACC-100008,2410.10
+16125550108,Susan,Lindgren,America/Chicago,ACC-100009,330.00
+17135550109,Christopher,Reyes,America/Chicago,ACC-100010,915.75
+13035550110,Jennifer,Mwangi,America/Denver,ACC-100012,1180.60
+13035550111,Daniel,Petrov,America/Denver,ACC-100013,45.00
+15055550112,Karen,Sandoval,America/Denver,ACC-100014,2750.00
+16025550113,Mark,Delacroix,America/Phoenix,ACC-100016,610.30
+16025550114,Nancy,Iqbal,America/Phoenix,ACC-100017,1320.45
+14155550115,Steven,Nakamura,America/Los_Angeles,ACC-100019,98.20
+12135550116,Betty,Rossi,America/Los_Angeles,ACC-100020,4100.00
+14085550117,Paul,Kowalski,America/Los_Angeles,ACC-100021,275.55
+15035550118,Sandra,Ferreira,America/Los_Angeles,ACC-100022,860.00
+12065550119,Joshua,Adeyemi,America/Los_Angeles,ACC-100023,1545.90
+12065550120,Ashley,Thornton,America/Los_Angeles,ACC-100024,52.10
+19075550121,Kevin,Sorensen,America/Anchorage,ACC-100026,1990.00
+18085550122,Michelle,Kahale,Pacific/Honolulu,ACC-100028,720.65
+18085550123,Brian,Costa,Pacific/Honolulu,ACC-100029,134.00
+16155550124,Amanda,Beauchamp,America/Chicago,ACC-100031,2630.80
+14045550125,Jason,Mbeki,America/New_York,ACC-100033,410.00
